data,produto_id,filial_id,empresa,volume,preco_unitario,receita
2025-01-25,P030,F282,Clamed,1.0,400.89,400.89
2025-02-16,P040,F164,Concorrente,2.0,2521.73,5043.46
2025-06-15,P048,F154,Concorrente,2.0,3556.77,7113.54
2025-04-16,P007,F246,Concorrente,1.0,508.76,508.76
2025-01-07,P031,F121,Clamed,6.0,1396.49,8378.94
2025-06-08,P011,F158,Concorrente,5.0,176.29,881.45
2025-05-30,P021,F127,Clamed,4.0,3294.53,13178.12
2025-02-25,P017,F282,Clamed,4.0,2660.94,10643.76
2025-03-20,P015,F258,Concorrente,2.0,277.64,555.28
2025-06-29,P037,F140,Clamed,1.0,420.88,420.88
2025-03-13,P034,F297,Concorrente,4.0,308.72,1234.88
2025-05-28,P025,F219,Clamed,5.0,272.04,1360.2
2025-03-30,P007,F256,Clamed,1.0,356.16,356.16
2025-01-05,P023,F138,Concorrente,9.0,1739.4,15654.6
2025-01-06,P033,F069,Clamed,5.0,1393.8,6969
2025-02-01,P050,F010,Clamed,2.0,2779.45,5558.9
2025-04-29,P044,F254,Concorrente,4.0,189.41,757.64
2025-04-11,P039,F240,Clamed,4.0,2355.54,9422.16
2025-03-20,P031,F085,Clamed,2.0,317.88,635.76
2025-03-04,P019,F197,Clamed,3.0,347.15,1041.45
2025-04-07,P016,F143,Concorrente,2.0,392.2,784.4
2025-05-01,P029,F054,Concorrente,8.0,1164.57,9316.56
2025-03-03,P007,F276,Clamed,1.0,519.57,519.57
2025-03-02,P019,F151,Concorrente,3.0,360.86,1082.58
2025-03-13,P017,F012,Clamed,4.0,2675.09,10700.36
2025-03-20,P008,F248,Clamed,14.0,957.68,13407.52
2025-03-24,P034,F269,Concorrente,1.0,4102.08,4102.08
2025-04-10,P015,F045,Concorrente,5.0,1800.83,9004.15
2025-01-25,P016,F289,Concorrente,5.0,1513.71,7568.55
2025-04-04,P029,F189,Clamed,4.0,1840.12,7360.48
2025-06-22,P028,F263,Concorrente,4.0,212.31,849.24
2025-05-18,P040,F221,Clamed,7.0,1551.1,10857.7
2025-03-15,P013,F162,Clamed,1.0,690.95,690.95
2025-06-18,P017,F125,Concorrente,4.0,1912.54,7650.16
2025-05-19,P045,F069,Concorrente,4.0,2205.04,8820.16
2025-04-28,P006,F110,Clamed,5.0,221.56,1107.8
2025-04-04,P027,F174,Concorrente,6.0,2052.52,12315.12
2025-05-06,P014,F102,Concorrente,2.0,295.31,590.62
2025-01-15,P018,F174,Concorrente,6.0,3204.8,19228.8
2025-01-15,P043,F110,Concorrente,4.0,198.15,792.6
2025-05-08,P044,F056,Concorrente,17.0,835.78,14208.26
2025-06-04,P046,F134,Clamed,1.0,382.68,382.68
2025-01-12,P023,F017,Clamed,4.0,2310.98,9243.92
2025-03-19,P045,F171,Clamed,3.0,250.92,752.76
2025-02-09,P022,F049,Clamed,5.0,1598.76,7993.8
2025-05-08,P031,F278,Concorrente,13.0,867.23,11273.99
2025-06-09,P006,F168,Concorrente,5.0,2284.67,11423.35
2025-02-26,P009,F027,Concorrente,15.0,102.44,1536.6
2025-01-17,P004,F236,Concorrente,1.0,41.29,41.29
2025-02-03,P047,F177,Clamed,3.0,2833.5,8500.5
2025-02-16,P016,F019,Concorrente,6.0,1665.9,9995.4
2025-04-23,P031,F123,Clamed,4.0,2470.08,9880.32
2025-02-25,P002,F059,Concorrente,2.0,352.55,705.1
2025-05-27,P050,F286,Clamed,6.0,1526.89,9161.34
2025-04-27,P049,F172,Clamed,3.0,2429.44,7288.32
2025-05-22,P006,F044,Concorrente,3.0,2563.17,7689.51
2025-06-26,P001,F160,Clamed,2.0,3257.52,6515.04
2025-06-04,P006,F294,Clamed,3.0,236.98,710.94
2025-03-06,P034,F294,Concorrente,1.0,3224.63,3224.63
2025-01-18,P037,F140,Concorrente,2.0,2657.07,5314.14
2025-05-01,P022,F145,Clamed,2.0,2903.35,5806.7
2025-04-24,P032,F253,Clamed,5.0,2223.8,11119
2025-01-23,P045,F281,Clamed,5.0,1818.8,9094
2025-05-12,P036,F132,Concorrente,7.0,263.61,1845.27
2025-01-15,P033,F161,Clamed,2.0,377.45,754.9
2025-01-07,P007,F209,Concorrente,1.0,5676.24,5676.24
2025-01-10,P018,F047,Clamed,4.0,279.95,1119.8
2025-06-28,P001,F094,Clamed,12.0,847.38,10168.56
2025-03-26,P015,F219,Concorrente,1.0,32.86,32.86
2025-01-14,P032,F065,Concorrente,12.0,111.5,1338
2025-03-12,P038,F300,Concorrente,2.0,3181.12,6362.24
2025-03-05,P037,F110,Clamed,1.0,418.08,418.08
2025-06-24,P005,F093,Concorrente,1.0,4943.28,4943.28
2025-04-23,P029,F101,Concorrente,8.0,1416.8,11334.4
2025-02-01,P047,F258,Clamed,4.0,1846.41,7385.64
2025-06-29,P012,F210,Concorrente,8.0,222.2,1777.6
2025-02-25,P016,F168,Concorrente,3.0,2473.17,7419.51
2025-02-07,P022,F228,Clamed,1.0,4576.92,4576.92
2025-02-18,P023,F048,Concorrente,8.0,1766.19,14129.52
2025-02-15,P036,F293,Clamed,5.0,234.69,1173.45
2025-01-19,P001,F299,Clamed,4.0,2742.08,10968.32
2025-05-06,P043,F276,Concorrente,4.0,1804.77,7219.08
2025-02-07,P015,F217,Concorrente,1.0,3347.03,3347.03
2025-06-07,P002,F271,Concorrente,1.0,4081.58,4081.58
2025-05-20,P046,F037,Clamed,1.0,542.65,542.65
2025-01-17,P044,F165,Concorrente,5.0,199.72,998.6
2025-05-07,P029,F212,Concorrente,2.0,2870.58,5741.16
2025-01-21,P047,F205,Concorrente,2.0,3510.3,7020.6
2025-04-27,P017,F192,Concorrente,5.0,188.52,942.6
2025-06-28,P036,F025,Concorrente,5.0,3147.99,15739.95
2025-03-09,P002,F035,Concorrente,1.0,5557.06,5557.06
2025-05-14,P015,F077,Clamed,1.0,4245.85,4245.85
2025-01-14,P024,F222,Clamed,1.0,4250.67,4250.67
2025-02-03,P028,F204,Clamed,2.0,284.51,569.02
2025-02-13,P025,F234,Clamed,7.0,1924.62,13472.34
2025-04-22,P044,F039,Clamed,9.0,1542.32,13880.88
2025-01-28,P001,F069,Clamed,3.0,285.06,855.18
2025-03-04,P006,F187,Concorrente,8.0,1204.76,9638.08
2025-05-13,P050,F020,Clamed,4.0,2548.21,10192.84
2025-05-04,P038,F281,Clamed,4.0,2410.53,9642.12
2025-06-08,P005,F082,Concorrente,1.0,356.19,356.19
2025-03-18,P025,F032,Clamed,7.0,177.46,1242.22
2025-04-25,P050,F284,Clamed,8.0,1516.78,12134.24
2025-02-04,P009,F118,Concorrente,4.0,278.72,1114.88
2025-06-29,P005,F221,Clamed,2.0,426.61,853.22
2025-06-14,P013,F089,Concorrente,1.0,553.97,553.97
2025-05-08,P026,F090,Concorrente,7.0,1714.5,12001.5
2025-04-12,P038,F112,Concorrente,3.0,1989.95,5969.85
2025-01-26,P036,F221,Concorrente,8.0,224.36,1794.88
2025-05-15,P049,F048,Concorrente,1.0,3625.6,3625.6
2025-05-24,P021,F161,Concorrente,3.0,4259.34,12778.02
2025-05-15,P013,F112,Concorrente,1.0,378.42,378.42
2025-06-22,P007,F147,Clamed,1.0,42.64,42.64
2025-05-18,P002,F038,Clamed,1.0,630.82,630.82
2025-05-27,P010,F065,Concorrente,1.0,4554.1,4554.1
2025-01-29,P003,F117,Clamed,6.0,2071.97,12431.82
2025-03-07,P032,F023,Concorrente,4.0,227.94,911.76
2025-06-17,P047,F142,Clamed,7.0,1283.19,8982.33
2025-06-06,P026,F170,Clamed,2.0,3119.72,6239.44
2025-02-16,P050,F096,Concorrente,5.0,18.88,94.4
2025-05-21,P006,F271,Clamed,2.0,2742.03,5484.06
2025-06-03,P050,F122,Concorrente,7.0,1503.98,10527.86
2025-01-10,P022,F235,Concorrente,7.0,17.55,122.85
2025-04-08,P030,F089,Concorrente,1.0,396.1,396.1
2025-04-13,P018,F191,Clamed,5.0,321.91,1609.55
2025-01-07,P042,F059,Clamed,5.0,2369.09,11845.45
2025-03-30,P008,F211,Concorrente,3.0,2399.65,7198.95
2025-03-28,P049,F008,Clamed,1.0,697.59,697.59
2025-02-17,P040,F202,Concorrente,3.0,317.52,952.56
2025-04-06,P032,F162,Clamed,4.0,1436.65,5746.6
2025-04-22,P003,F176,Clamed,6.0,156.37,938.22
2025-01-09,P027,F138,Concorrente,8.0,1535.33,12282.64
2025-03-09,P032,F208,Concorrente,6.0,1540.19,9241.14
2025-02-28,P023,F200,Clamed,9.0,17.45,157.05
2025-01-27,P050,F133,Concorrente,2.0,352.34,704.68
2025-03-22,P014,F113,Clamed,3.0,2838.6,8515.8
2025-05-16,P029,F006,Concorrente,5.0,1889.07,9445.35
2025-04-12,P032,F278,Clamed,5.0,2376.44,11882.2
2025-01-12,P040,F013,Clamed,2.0,253.72,507.44
2025-06-14,P011,F112,Concorrente,1.0,5547.41,5547.41
2025-06-29,P040,F217,Clamed,1.0,39.89,39.89
2025-06-02,P038,F049,Clamed,3.0,211.29,633.87
2025-06-25,P029,F234,Concorrente,11.0,1432.02,15752.22
2025-03-23,P001,F074,Concorrente,15.0,1075.06,16125.9
2025-05-18,P026,F043,Clamed,3.0,343.74,1031.22
2025-04-17,P036,F136,Clamed,1.0,531.63,531.63
2025-03-31,P031,F086,Clamed,10.0,980.15,9801.5
2025-05-30,P023,F270,Concorrente,2.0,51.36,102.72
2025-01-08,P031,F054,Concorrente,8.0,1108.51,8868.08
2025-01-28,P001,F196,Concorrente,2.0,2986.58,5973.16
2025-01-31,P007,F086,Concorrente,4.0,2230.06,8920.24
2025-06-05,P031,F155,Clamed,2.0,286.74,573.48
2025-04-29,P003,F220,Concorrente,5.0,194.52,972.6
2025-02-04,P047,F244,Clamed,4.0,2066.96,8267.84
2025-06-20,P019,F056,Concorrente,11.0,2501.25,27513.75
2025-02-17,P043,F121,Concorrente,4.0,2363.63,9454.52
2025-03-02,P033,F130,Concorrente,4.0,2373.02,9492.08
2025-01-09,P050,F225,Concorrente,2.0,404.53,809.06
2025-04-25,P004,F280,Clamed,2.0,2919.96,5839.92
2025-06-02,P038,F076,Concorrente,2.0,195.48,390.96
2025-02-12,P013,F152,Clamed,1.0,646.89,646.89
2025-05-21,P012,F160,Clamed,2.0,588.49,1176.98
2025-01-30,P019,F014,Clamed,2.0,447.13,894.26
2025-02-03,P006,F032,Clamed,5.0,1923.35,9616.75
2025-04-23,P032,F278,Clamed,6.0,1750.11,10500.66
2025-05-04,P027,F088,Clamed,5.0,20.31,101.55
2025-01-22,P006,F295,Clamed,3.0,2537.88,7613.64
2025-05-19,P031,F014,Clamed,7.0,1255.49,8788.43
2025-06-01,P004,F046,Concorrente,1.0,423.32,423.32
2025-04-04,P016,F255,Concorrente,3.0,2911.35,8734.05
2025-04-11,P016,F107,Clamed,5.0,1848.12,9240.6
2025-04-08,P031,F281,Clamed,5.0,199.64,998.2
2025-04-13,P049,F132,Concorrente,1.0,453.3,453.3
2025-04-18,P040,F111,Clamed,2.0,251.98,503.96
2025-02-18,P021,F193,Concorrente,,4783,9566
2025-01-23,P016,F141,Concorrente,4.0,2378.4,9513.6
2025-01-22,P045,F083,Clamed,7.0,131.11,917.77
2025-02-02,P035,F285,Clamed,1.0,430.14,430.14
2025-03-06,P045,F093,Concorrente,4.0,1512.65,6050.6
2025-04-16,P032,F070,Clamed,9.0,1418.88,12769.92
2025-01-19,P028,F194,Concorrente,1.0,396.97,396.97
2025-05-09,P050,F065,Concorrente,3.0,299.56,898.68
2025-05-31,P043,F049,Clamed,4.0,20.7,82.8
2025-01-01,P050,F176,Concorrente,5.0,235.72,1178.6
2025-02-09,P034,F221,Concorrente,8.0,1396.07,11168.56
2025-04-11,P014,F295,Clamed,3.0,177.03,531.09
2025-04-10,P042,F068,Clamed,9.0,1336.8,12031.2
2025-01-10,P036,F005,Concorrente,6.0,326.87,1961.22
2025-05-29,P027,F101,Clamed,9.0,1049,9441
2025-03-01,P007,F155,Clamed,1.0,6373.87,6373.87
2025-04-14,P036,F278,Clamed,3.0,36.66,109.98
2025-04-02,P050,F167,Concorrente,1.0,360.99,360.99
2025-04-03,P025,F198,Clamed,4.0,2489.29,9957.16
2025-03-03,P025,F224,Concorrente,6.0,278.12,1668.72
2025-01-12,P049,F283,Concorrente,1.0,504.99,504.99
2025-03-18,P001,F167,Concorrente,3.0,2355.84,7067.52
2025-03-07,P003,F145,Clamed,3.0,1787.58,5362.74
2025-05-29,P009,F036,Concorrente,20.0,808.45,16169
2025-04-24,P037,F067,Concorrente,1.0,549.84,549.84
2025-05-27,P030,F053,Clamed,1.0,400.55,400.55
2025-05-07,P040,F289,Clamed,1.0,3207.31,3207.31
2025-06-20,P007,F161,Concorrente,1.0,297.82,297.82
2025-06-22,P021,F290,Concorrente,5.0,358,1790
2025-02-10,P001,F226,Clamed,3.0,2777.64,8332.92
2025-02-14,P009,F265,Clamed,5.0,2513.01,12565.05
2025-04-26,P022,F227,Clamed,1.0,4095.56,4095.56
2025-02-01,P035,F271,Clamed,1.0,440.88,440.88
2025-05-24,P029,F189,Concorrente,,1872.69,#VALUE!
