2026-04-25 19:43:54,300 | __main__ | INFO | === Rodando Silver ===
2026-04-25 19:43:54,300 | src.pipeline.silver | INFO | Iniciando pipeline Silver
2026-04-25 19:43:54,300 | src.etl.extract | INFO | Iniciando leitura dos arquivos do GCS (Bronze)
2026-04-25 19:43:54,300 | src.utils.gcs_utils | INFO | Lendo arquivo do GCS: bronze/dim_filial.csv
2026-04-25 19:43:56,155 | src.utils.gcs_utils | INFO | Arquivo carregado com sucesso: bronze/dim_filial.csv
2026-04-25 19:43:56,155 | src.etl.extract | INFO | Arquivo dim_filial.csv carregado
2026-04-25 19:43:56,155 | src.utils.gcs_utils | INFO | Lendo arquivo do GCS: bronze/dim_produto.csv
2026-04-25 19:43:56,652 | src.utils.gcs_utils | INFO | Arquivo carregado com sucesso: bronze/dim_produto.csv
2026-04-25 19:43:56,656 | src.etl.extract | INFO | Arquivo dim_produto.csv carregado
2026-04-25 19:43:56,657 | src.utils.gcs_utils | INFO | Lendo arquivo do GCS: bronze/fato_vendas.csv
2026-04-25 19:43:58,393 | src.utils.gcs_utils | INFO | Arquivo carregado com sucesso: bronze/fato_vendas.csv
2026-04-25 19:43:58,393 | src.etl.extract | INFO | Arquivo fato_vendas.csv carregado
2026-04-25 19:43:58,393 | src.etl.extract | INFO | Leitura dos arquivos do GCS concluída
2026-04-25 19:43:58,393 | src.pipeline.silver | INFO | Dados extraídos do GCS
2026-04-25 19:43:58,393 | src.etl.transform | INFO | Iniciando transformação da camada Silver
2026-04-25 19:43:58,394 | src.etl.transform | INFO | Iniciando tratamento da tabela fato_vendas
2026-04-25 19:43:58,407 | src.etl.transform | INFO | Realizando tratamento geral
2026-04-25 19:43:58,418 | src.etl.transform | INFO | Duplicados removidos (filial): 0
2026-04-25 19:43:58,419 | src.etl.transform | INFO | Duplicados removidos (produto): 0
2026-04-25 19:43:58,419 | src.etl.transform | INFO | Duplicados removidos (vendas): 12
2026-04-25 19:43:58,419 | src.etl.transform | INFO | Aplicando integridade referencial entre dimensões e fato
2026-04-25 19:43:58,422 | src.etl.transform | INFO | Transformação da camada Silver concluída
2026-04-25 19:43:58,422 | src.pipeline.silver | INFO | Transformação concluída
2026-04-25 19:43:58,422 | src.etl.load | INFO | Iniciando carga da camada Silver
2026-04-25 19:43:58,470 | src.utils.postgres_utils | INFO | Conexão realizada com sucesso
2026-04-25 19:43:58,471 | src.etl.load | INFO | Executando DDL para criação das tabelas Silver
2026-04-25 19:43:58,473 | src.etl.load | INFO | Executando TRUNCATE nas tabelas Silver
